1	255	189	26.9	2.93	6.58	.445	0.72	2.01	.357	1.30	1.74	.748	7.54	1.64	3.87	5.51	1.47	1.10	0.25	2.12	1.06	7.88	4
2	91	7	9.5	1.13	2.56	.442	0.21	0.68	.306	0.69	1.01	.685	1.75	0.56	1.08	1.64	0.48	0.29	0.04	1.58	0.51	3.16	2
3	403	49	16.9	3.03	5.48	.553	0.00	0.07	.037	1.58	2.39	.661	5.16	1.35	2.54	3.89	0.80	0.45	0.23	2.37	1.02	7.64	6
4	7	0	5.4	0.43	1.43	.300	0.00	0.00	.000	0.57	0.86	.667	1.50	0.86	1.00	1.86	0.14	0.00	0.29	0.86	0.14	1.43	1
5	27	0	5.8	0.70	1.37	.514	0.00	0.00	.000	0.15	0.30	.500	1.31	0.63	0.59	1.22	0.15	0.19	0.07	0.74	0.22	1.56	2
6	397	77	23.5	2.68	6.66	.402	1.46	3.57	.407	1.03	1.31	.780	4.76	0.36	1.64	1.99	1.95	0.61	0.22	2.04	0.94	7.85	7
7	30	0	5.7	0.63	1.73	.365	0.20	0.53	.375	0.23	0.37	.636	0.60	0.37	0.67	1.03	0.20	0.10	0.03	0.73	0.50	1.70	1
9	26	0	6.6	0.62	1.35	.457	0.31	0.73	.421	0.38	0.69	.556	1.08	0.12	0.62	0.73	0.27	0.12	0.08	0.54	0.35	1.92	2
11	102	25	12.8	1.49	2.88	.517	0.00	0.00	.000	1.32	1.97	.672	2.80	0.80	1.89	2.70	0.29	0.37	0.44	2.13	0.87	4.30	3
12	68	11	10.5	0.74	2.16	.340	0.19	0.76	.250	0.40	0.62	.643	2.06	0.22	0.79	1.01	1.75	0.47	0.10	1.16	0.71	2.06	2
13	687	411	28.7	5.17	10.29	.503	0.27	0.79	.340	2.87	3.94	.728	11.27	2.33	4.93	7.26	2.05	1.26	0.97	3.22	1.71	13.48	9
15	239	19	13.9	2.05	3.98	.515	0.00	0.02	.000	2.11	3.09	.682	4.43	1.59	2.22	3.81	0.33	0.29	0.34	2.10	0.79	6.21	5
16	481	64	11.8	1.33	2.28	.581	0.00	0.00	.000	1.07	1.64	.651	2.46	0.85	1.31	2.17	0.29	0.18	0.52	2.03	0.75	3.72	9
17	22	0	5.2	0.41	1.64	.250	0.00	0.14	.000	0.18	0.41	.444	1.07	0.59	0.82	1.41	0.05	0.18	0.55	0.68	0.18	1.00	2
18	6	0	3.0	0.17	0.67	.250	0.00	0.17	.000	0.50	0.83	.600	0.52	0.33	0.00	0.33	0.17	0.00	0.00	0.00	0.00	0.83	1
20	72	8	7.6	1.10	2.06	.534	0.00	0.01	.000	0.38	0.58	.643	1.61	0.50	0.67	1.17	0.19	0.25	0.07	0.71	0.36	2.57	2
25	14	0	11.8	0.64	2.14	.300	0.07	0.36	.200	0.43	0.43	1.000	1.32	0.43	0.64	1.07	1.21	0.36	0.00	0.64	0.86	1.79	1
26	575	246	20.3	3.45	8.29	.416	1.21	3.48	.349	1.34	1.67	.805	4.69	0.47	1.87	2.34	1.22	0.75	0.28	2.21	0.94	9.46	1
27	640	283	22.6	3.56	7.22	.493	0.02	0.08	.208	1.95	2.35	.828	6.61	1.55	3.19	4.74	0.80	0.39	0.65	1.88	1.01	9.08	1
28	127	8	13.3	1.28	3.28	.389	0.28	0.96	.295	0.56	0.72	.780	2.23	0.25	0.99	1.24	1.37	0.54	0.08	1.17	0.84	3.39	2
29	453	257	23.9	4.08	9.13	.447	0.94	2.55	.370	1.59	2.05	.776	8.04	1.89	4.15	6.05	1.11	0.71	0.38	2.56	0.98	10.69	8
30	678	599	35.8	7.43	16.39	.454	0.90	2.85	.314	3.57	4.62	.773	10.96	0.68	2.86	3.54	4.77	1.74	0.32	2.40	2.81	19.33	1
31	473	105	17.0	1.81	3.40	.533	0.00	0.01	.000	1.05	1.65	.636	5.57	1.10	2.62	3.71	1.31	0.38	1.25	2.36	0.76	4.67	1
32	179	21	14.9	1.66	4.29	.388	0.92	2.60	.353	0.53	0.62	.847	4.17	0.22	1.14	1.36	2.41	0.42	0.05	1.12	0.55	4.77	5
33	131	7	11.9	0.97	2.50	.387	0.08	0.40	.212	0.47	0.73	.642	1.62	0.37	1.11	1.49	1.18	0.75	0.11	1.74	1.10	2.49	4
35	200	14	12.4	1.95	4.64	.420	0.51	1.57	.325	0.86	1.15	.751	2.45	0.19	0.98	1.17	0.73	0.36	0.10	0.78	0.64	5.27	7
