GP	GS	MIN	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OFF	DEF	TRB	AST	STL	BLK	PF	TOV	PTS	YR	POS	W	H
514	120	21.1	3.14	7.03	0.447	0.02	0.11	0.182	1.7	2.43	0.7	1.42	2.93	4.35	0.89	0.69	0.34	2.41	1.03	8.0	8	4	131	206
52	2	8.3	1.31	3.08	0.425	0.0	0.0	0.0	0.5	0.87	0.578	0.6	1.25	1.85	0.27	0.17	0.35	1.12	0.42	3.12	2	4	104	208
387	164	19.6	2.17	4.56	0.475	0.45	1.34	0.337	0.75	1.06	0.706	1.13	2.91	4.05	2.08	0.53	0.48	1.94	0.89	5.53	8	4	109	208
135	7	8.2	0.93	1.87	0.496	0.0	0.01	0.0	0.41	0.99	0.41	0.72	1.27	1.99	0.3	0.14	0.39	1.66	0.49	2.26	5	5	127	216
319	86	12.1	1.38	2.71	0.509	0.0	0.01	0.0	0.58	1.04	0.562	1.35	2.38	3.73	0.65	0.29	0.27	2.13	0.83	3.34	7	5	122	213
18	0	3.3	0.5	1.78	0.281	0.17	0.83	0.2	0.06	0.11	0.5	0.0	0.39	0.39	0.11	0.0	0.22	0.28	0.22	1.22	2	4	98	203
17	0	4.3	0.41	1.47	0.28	0.12	0.65	0.182	0.65	0.71	0.917	0.0	0.59	0.59	0.65	0.12	0.0	0.29	0.53	1.59	1	1	80	183
549	542	33.7	5.35	10.57	0.506	0.02	0.12	0.182	3.5	4.58	0.763	2.02	5.85	7.86	3.05	0.91	1.53	3.07	1.98	14.21	7	5	116	216
2	0	18.4	1.5	5.5	0.273	0.0	3.0	0.0	2.0	2.0	1.0	3.0	2.5	5.5	0.5	1.0	0.0	1.0	0.0	5.0	2	3	100	201
613	584	32.5	4.95	11.26	0.44	1.15	3.08	0.373	2.42	3.0	0.806	0.42	2.42	2.85	5.59	1.53	0.18	2.01	2.04	13.48	8	1	79	185
593	593	37.9	9.16	19.0	0.482	1.71	4.49	0.38	7.24	8.22	0.881	0.8	6.14	6.94	3.55	1.23	0.99	1.87	3.22	27.28	8	3	109	206
188	8	12.7	1.4	3.39	0.413	0.14	0.61	0.235	0.91	1.18	0.778	0.18	0.86	1.04	1.64	0.44	0.02	1.03	0.77	3.86	4	2	92	191
137	29	14.4	1.67	3.27	0.511	0.0	0.01	0.0	0.9	1.44	0.624	1.34	2.11	3.45	0.34	0.34	1.18	2.36	0.88	4.24	4	5	107	208
445	343	31.1	5.32	12.04	0.442	1.3	3.84	0.339	1.76	2.26	0.777	1.13	4.17	5.29	1.76	0.76	0.7	2.87	1.45	13.7	8	3	102	203
438	96	17.5	2.63	5.65	0.465	0.07	0.24	0.302	1.01	1.28	0.786	1.19	2.37	3.55	0.77	0.35	0.66	2.25	0.87	6.33	8	4	109	213
600	455	28.2	4.18	9.2	0.454	1.16	3.04	0.382	2.0	2.44	0.819	0.51	2.5	3.02	1.96	0.49	0.2	2.05	1.22	11.52	8	2	98	196
723	538	27.1	4.73	9.68	0.488	0.0	0.03	0.0	1.85	2.5	0.742	2.05	5.65	7.7	1.27	0.45	1.29	2.71	2.13	11.31	1	5	120	213
596	582	30.1	4.69	8.81	0.532	0.0	0.04	0.087	1.36	2.43	0.559	2.65	6.45	9.1	2.28	0.67	1.63	3.16	1.8	10.74	1	5	118	213
733	546	28.8	3.74	8.43	0.443	0.67	1.98	0.341	2.23	2.77	0.802	1.26	3.87	5.13	1.29	0.77	0.48	2.13	1.06	10.37	1	3	108	206
742	690	35.0	5.96	13.35	0.446	1.4	3.9	0.358	3.62	4.41	0.821	0.44	2.75	3.19	8.4	1.08	0.26	2.56	2.93	16.94	1	1	91	191
725	725	36.1	6.58	13.9	0.473	1.08	2.97	0.365	4.41	5.12	0.862	0.69	3.66	4.35	9.91	2.34	0.1	2.48	2.41	18.65	1	1	79	183
726	633	33.1	4.73	11.49	0.412	1.03	3.1	0.331	2.09	2.66	0.785	0.64	2.54	3.18	6.16	1.35	0.21	2.12	2.43	12.58	1	1	93	185
580	266	24.0	2.92	7.0	0.418	1.36	3.56	0.382	1.51	1.91	0.791	0.61	2.52	3.12	1.01	0.52	0.28	1.82	0.92	8.72	1	3	104	201
530	377	29.4	5.45	12.42	0.439	1.18	3.33	0.354	2.59	3.14	0.824	0.99	3.75	4.74	1.21	0.39	0.88	2.49	1.6	14.66	9	4	111	213
161	28	20.4	2.9	7.78	0.373	0.77	2.33	0.331	0.88	1.24	0.71	0.51	1.61	2.12	1.38	0.25	0.07	1.7	1.07	7.45	4	3	90	203
361	104	15.5	1.63	3.53	0.462	0.01	0.02	0.222	1.21	1.63	0.74	1.47	2.86	4.33	0.45	0.5	0.45	2.03	0.84	4.48	6	4	113	206
